index,area_string,posted,neighborhood,post title,number_bedrooms,sqft,URL,price
112,chicago,2021-11-08 07:29, ( city of chicago ),Located in the heart of the South Loop’s Motor Row district,2,700.0,https://chicago.craigslist.org/chc/roo/d/chicago-located-in-the-heart-of-the/7405039761.html,2095
113,chicago,2021-11-08 06:52, ( city of chicago ),1 BEDROOM ON QUIET TREE LINE STREET IN THE HEART OF GOLD COAST,1,675.0,https://chicago.craigslist.org/chc/roo/d/chicago-bedroom-on-quiet-tree-line/7405037744.html,1425
114,chicago,2021-11-08 06:33, ( city of chicago ),*LOGAN SQUARE-BRAND NEW ELEVATOR BUILDING,2,1700.0,https://chicago.craigslist.org/chc/roo/d/chicago-logan-square-brand-new-elevator/7405035148.html,2200
115,chicago,2021-11-08 06:19, ( city of chicago ),heart of Chicago's most desirable neighborhood--Lincoln Park.,1,750.0,https://chicago.craigslist.org/chc/roo/d/chicago-heart-of-chicagos-most/7405035240.html,1675
116,chicago,2021-11-08 06:19, ( city of chicago ),212 W Washington Street // Fully Furnished 2 bed Unit,2,900.0,https://chicago.craigslist.org/chc/roo/d/chicago-212-washington-street-fully/7405036500.html,2250
117,chicago,2021-11-08 06:18, ( city of chicago ),33 E Cedar Street // Fully Furnished 1 bed Unit,1,800.0,https://chicago.craigslist.org/chc/roo/d/chicago-33-cedar-street-fully-furnished/7405036736.html,1550
118,chicago,2021-11-08 05:25, (Southeast side south chicagoland ),FURNISHED  ROOMS  FOR  RENT   $450 monthly,,,https://chicago.craigslist.org/sox/roo/d/chicago-furnished-rooms-for-rent-450/7393764658.html,450
119,chicago,2021-11-08 05:16," (1202 E Sedona Dr, Orange, CA city of chicago )",Tucked AWAY @ behind THE gates OF Syca-MORE @ CROSSINGS,4,,https://chicago.craigslist.org/chc/roo/d/orange-tucked-away-behind-the-gates-of/7400887742.html,850
120,dallas,2021-11-09 15:44, (Denton dallas ),"Commanding view of campus, Four Bedroom Suites",4,1345.0,https://dallas.craigslist.org/dal/roo/d/denton-commanding-view-of-campus-four/7405779867.html,625
121,dallas,2021-11-09 15:39, (Keller fort worth ),I have Room for rent in Keller/North Worth,,350.0,https://dallas.craigslist.org/ftw/roo/d/fort-worth-have-room-for-rent-in-keller/7399818051.html,600
122,dallas,2021-11-09 15:39, (North Fort Worth south DFW ),I have room for rent in Keller/North Fort Worth,,350.0,https://dallas.craigslist.org/sdf/roo/d/fort-worth-have-room-for-rent-in-keller/7400260141.html,600
123,dallas,2021-11-09 15:39, (Keller north DFW ),Room for rent in Keller/North Fort Worth,,300.0,https://dallas.craigslist.org/ndf/roo/d/keller-room-for-rent-in-keller-north/7396046151.html,600
124,dallas,2021-11-09 15:39, (Keller fort worth ),I have room for rent in Keller,,275.0,https://dallas.craigslist.org/ftw/roo/d/keller-have-room-for-rent-in-keller/7396027130.html,600
